dates,vol
2021-08-13 07:20:06,20
2021-08-13 07:21:06,20
2021-08-13 07:22:07,20
2021-08-13 07:23:07,20
2021-08-13 07:24:06,20
2021-08-13 07:25:07,20
2021-08-13 07:26:07,16
2021-08-13 07:26:13,17
2021-08-13 07:27:13,17
2021-08-13 07:27:55,18
2021-08-13 07:28:56,18
2021-08-13 07:29:27,20
2021-08-13 07:29:31,20
2021-08-13 07:30:31,18
2021-08-13 07:31:31,18
2021-08-13 07:32:02,18
2021-08-13 07:32:36,19
2021-08-13 07:32:39,19
2021-08-13 07:33:12,18
2021-08-13 07:33:16,17
2021-08-13 07:34:16,18
2021-08-13 07:35:16,17
2021-08-13 07:36:16,17
2021-08-13 07:37:16,18
2021-08-13 07:37:36,18
2021-08-13 07:37:45,18
2021-08-13 07:38:28,18
2021-08-13 07:38:37,18
2021-08-13 07:39:34,17
2021-08-13 07:40:33,17
2021-08-13 07:41:33,18
2021-08-13 07:41:39,18
2021-08-13 07:42:23,17
2021-08-13 07:43:23,16
2021-08-13 07:44:23,16
2021-08-13 07:45:24,15
2021-08-13 07:46:23,15
2021-08-13 07:47:23,15
2021-08-13 07:48:23,15
2021-08-13 07:49:24,16
2021-08-13 07:50:24,16
2021-08-13 07:51:23,15
2021-08-13 07:52:24,16
2021-08-13 07:53:24,15
2021-08-13 07:54:24,15
2021-08-13 07:55:24,15
2021-08-13 07:56:25,15
2021-08-13 07:57:24,15
2021-08-13 07:58:24,15
2021-08-13 07:59:25,15
2021-08-13 08:00:25,17
2021-08-13 08:01:25,17
2021-08-13 08:02:24,17
2021-08-13 08:03:25,17
2021-08-13 08:04:25,17
2021-08-13 08:05:25,17
2021-08-13 08:06:26,17
2021-08-13 08:07:26,17
2021-08-13 08:08:03,18
2021-08-13 08:08:10,18
2021-08-13 08:08:13,18
2021-08-13 08:09:13,18
2021-08-13 08:10:14,19
2021-08-13 08:11:14,18
2021-08-13 08:12:14,17
2021-08-13 08:13:14,17
2021-08-13 08:14:14,17
2021-08-13 08:15:14,19
2021-08-13 08:16:14,18
2021-08-13 08:17:15,17
2021-08-13 08:17:20,17
2021-08-13 08:18:20,17
2021-08-13 08:19:19,16
2021-08-13 08:20:20,15
2021-08-13 08:21:20,15
2021-08-13 08:21:42,15
2021-08-13 08:21:44,15
2021-08-13 08:22:45,15
2021-08-13 08:32:46,15
2021-08-13 08:37:11,15
2021-08-13 08:37:13,15
2021-08-13 08:38:13,15
2021-08-13 08:39:13,15
2021-08-13 08:40:12,15
2021-08-13 08:41:13,15
2021-08-13 08:42:13,15
2021-08-13 08:43:13,15
2021-08-13 08:44:14,15
2021-08-13 08:45:14,15
2021-08-13 08:46:13,15
2021-08-13 08:47:13,15
2021-08-13 08:48:14,15
2021-08-13 08:49:14,15
2021-08-13 08:50:14,15
2021-08-13 08:51:14,15
2021-08-13 08:52:14,15
2021-08-13 08:53:14,15
2021-08-13 08:54:14,15
2021-08-13 08:55:15,15
2021-08-13 08:56:15,15
2021-08-13 08:57:14,15
2021-08-13 08:58:15,15
2021-08-13 08:59:15,15
2021-08-13 09:00:15,15
2021-08-13 09:01:16,15
2021-08-13 09:02:15,15
2021-08-13 09:03:15,15
2021-08-13 09:04:15,15
2021-08-13 09:05:16,15
2021-08-13 09:06:16,15
2021-08-13 09:07:16,15
2021-08-13 09:08:16,15
2021-08-13 09:09:16,15
2021-08-13 09:10:16,15
2021-08-13 09:11:16,15
2021-08-13 09:12:17,15
2021-08-13 09:12:43,15
2021-08-13 09:12:44,15
2021-08-13 09:22:14,15
2021-08-13 09:22:16,15
2021-08-13 09:23:17,15
2021-08-13 09:24:16,14
2021-08-13 09:25:16,15
2021-08-13 09:26:17,14
2021-08-13 09:27:17,15
2021-08-13 09:28:17,15
2021-08-13 09:29:17,15
2021-08-13 09:30:17,15
2021-08-13 09:31:17,15
2021-08-13 09:32:17,15
2021-08-13 09:33:18,15
2021-08-13 09:34:18,15
2021-08-13 09:35:17,15
2021-08-13 09:36:18,15
2021-08-13 09:37:18,15
2021-08-13 09:38:18,15
2021-08-13 09:39:19,15
2021-08-13 09:40:18,14
2021-08-13 09:41:18,14
2021-08-13 09:42:18,14
2021-08-13 09:43:19,14
2021-08-13 09:44:19,15
2021-08-13 09:45:19,16
2021-08-13 09:46:19,14
2021-08-13 09:46:27,14
2021-08-13 09:46:28,14
2021-08-13 09:47:28,16
2021-08-13 09:47:34,16
